region,h,v,hv,ulx,uly,lrx,lry
HI,0,0,h0v0,-444345,2168895,-294345,2018895
HI,0,1,h0v1,-444345,2018895,-294345,1868895
HI,0,2,h0v2,-444345,1868895,-294345,1718895
HI,1,0,h1v0,-294345,2168895,-144345,2018895
HI,1,1,h1v1,-294345,2018895,-144345,1868895
HI,1,2,h1v2,-294345,1868895,-144345,1718895
HI,2,0,h2v0,-144345,2168895,5655,2018895
HI,2,1,h2v1,-144345,2018895,5655,1868895
HI,2,2,h2v2,-144345,1868895,5655,1718895
HI,3,0,h3v0,5655,2168895,155655,2018895
HI,3,1,h3v1,5655,2018895,155655,1868895
HI,3,2,h3v2,5655,1868895,155655,1718895
HI,4,0,h4v0,155655,2168895,305655,2018895
HI,4,1,h4v1,155655,2018895,305655,1868895
HI,4,2,h4v2,155655,1868895,305655,1718895
AK,0,0,h0v0,-851715,2474326,-701715,2324326
AK,0,1,h0v1,-851715,2324326,-701715,2174326
AK,0,2,h0v2,-851715,2174326,-701715,2024326
AK,0,3,h0v3,-851715,2024326,-701715,1874326
AK,0,4,h0v4,-851715,1874326,-701715,1724326
AK,0,5,h0v5,-851715,1724326,-701715,1574326
AK,0,6,h0v6,-851715,1574326,-701715,1424326
AK,0,7,h0v7,-851715,1424326,-701715,1274326
AK,0,8,h0v8,-851715,1274326,-701715,1124326
AK,0,9,h0v9,-851715,1124326,-701715,974325
AK,0,10,h0v10,-851715,974325,-701715,824325
AK,0,11,h0v11,-851715,824325,-701715,674325
AK,0,12,h0v12,-851715,674325,-701715,524325
AK,0,13,h0v13,-851715,524325,-701715,374325
AK,1,0,h1v0,-701715,2474326,-551715,2324326
AK,1,1,h1v1,-701715,2324326,-551715,2174326
AK,1,2,h1v2,-701715,2174326,-551715,2024326
AK,1,3,h1v3,-701715,2024326,-551715,1874326
AK,1,4,h1v4,-701715,1874326,-551715,1724326
AK,1,5,h1v5,-701715,1724326,-551715,1574326
AK,1,6,h1v6,-701715,1574326,-551715,1424326
AK,1,7,h1v7,-701715,1424326,-551715,1274326
AK,1,8,h1v8,-701715,1274326,-551715,1124326
AK,1,9,h1v9,-701715,1124326,-551715,974325
AK,1,10,h1v10,-701715,974325,-551715,824325
AK,1,11,h1v11,-701715,824325,-551715,674325
AK,1,12,h1v12,-701715,674325,-551715,524325
AK,1,13,h1v13,-701715,524325,-551715,374325
AK,2,0,h2v0,-551715,2474326,-401715,2324326
AK,2,1,h2v1,-551715,2324326,-401715,2174326
AK,2,2,h2v2,-551715,2174326,-401715,2024326
AK,2,3,h2v3,-551715,2024326,-401715,1874326
AK,2,4,h2v4,-551715,1874326,-401715,1724326
AK,2,5,h2v5,-551715,1724326,-401715,1574326
AK,2,6,h2v6,-551715,1574326,-401715,1424326
AK,2,7,h2v7,-551715,1424326,-401715,1274326
AK,2,8,h2v8,-551715,1274326,-401715,1124326
AK,2,9,h2v9,-551715,1124326,-401715,974325
AK,2,10,h2v10,-551715,974325,-401715,824325
AK,2,11,h2v11,-551715,824325,-401715,674325
AK,2,12,h2v12,-551715,674325,-401715,524325
AK,2,13,h2v13,-551715,524325,-401715,374325
AK,3,0,h3v0,-401715,2474326,-251715,2324326
AK,3,1,h3v1,-401715,2324326,-251715,2174326
AK,3,2,h3v2,-401715,2174326,-251715,2024326
AK,3,3,h3v3,-401715,2024326,-251715,1874326
AK,3,4,h3v4,-401715,1874326,-251715,1724326
AK,3,5,h3v5,-401715,1724326,-251715,1574326
AK,3,6,h3v6,-401715,1574326,-251715,1424326
AK,3,7,h3v7,-401715,1424326,-251715,1274326
AK,3,8,h3v8,-401715,1274326,-251715,1124326
AK,3,9,h3v9,-401715,1124326,-251715,974325
AK,3,10,h3v10,-401715,974325,-251715,824325
AK,3,11,h3v11,-401715,824325,-251715,674325
AK,3,12,h3v12,-401715,674325,-251715,524325
AK,3,13,h3v13,-401715,524325,-251715,374325
AK,4,0,h4v0,-251715,2474326,-101715,2324326
AK,4,1,h4v1,-251715,2324326,-101715,2174326
AK,4,2,h4v2,-251715,2174326,-101715,2024326
AK,4,3,h4v3,-251715,2024326,-101715,1874326
AK,4,4,h4v4,-251715,1874326,-101715,1724326
AK,4,5,h4v5,-251715,1724326,-101715,1574326
AK,4,6,h4v6,-251715,1574326,-101715,1424326
AK,4,7,h4v7,-251715,1424326,-101715,1274326
AK,4,8,h4v8,-251715,1274326,-101715,1124326
AK,4,9,h4v9,-251715,1124326,-101715,974325
AK,4,10,h4v10,-251715,974325,-101715,824325
AK,4,11,h4v11,-251715,824325,-101715,674325
AK,4,12,h4v12,-251715,674325,-101715,524325
AK,4,13,h4v13,-251715,524325,-101715,374325
AK,5,0,h5v0,-101715,2474326,48285,2324326
AK,5,1,h5v1,-101715,2324326,48285,2174326
AK,5,2,h5v2,-101715,2174326,48285,2024326
AK,5,3,h5v3,-101715,2024326,48285,1874326
AK,5,4,h5v4,-101715,1874326,48285,1724326
AK,5,5,h5v5,-101715,1724326,48285,1574326
AK,5,6,h5v6,-101715,1574326,48285,1424326
AK,5,7,h5v7,-101715,1424326,48285,1274326
AK,5,8,h5v8,-101715,1274326,48285,1124326
AK,5,9,h5v9,-101715,1124326,48285,974325
AK,5,10,h5v10,-101715,974325,48285,824325
AK,5,11,h5v11,-101715,824325,48285,674325
AK,5,12,h5v12,-101715,674325,48285,524325
AK,5,13,h5v13,-101715,524325,48285,374325
AK,6,0,h6v0,48285,2474326,198285,2324326
AK,6,1,h6v1,48285,2324326,198285,2174326
AK,6,2,h6v2,48285,2174326,198285,2024326
AK,6,3,h6v3,48285,2024326,198285,1874326
AK,6,4,h6v4,48285,1874326,198285,1724326
AK,6,5,h6v5,48285,1724326,198285,1574326
AK,6,6,h6v6,48285,1574326,198285,1424326
AK,6,7,h6v7,48285,1424326,198285,1274326
AK,6,8,h6v8,48285,1274326,198285,1124326
AK,6,9,h6v9,48285,1124326,198285,974325
AK,6,10,h6v10,48285,974325,198285,824325
AK,6,11,h6v11,48285,824325,198285,674325
AK,6,12,h6v12,48285,674325,198285,524325
AK,6,13,h6v13,48285,524325,198285,374325
AK,7,0,h7v0,198285,2474326,348285,2324326
AK,7,1,h7v1,198285,2324326,348285,2174326
AK,7,2,h7v2,198285,2174326,348285,2024326
AK,7,3,h7v3,198285,2024326,348285,1874326
